,CONLL-2003,OntoNotes 5.0,WNUT-2017,FIN,BioNLP 2004,BC5CDR,MIT Movie,MIT Restaurant
Flair/NER-english ,"9,0.6","8,0.6","8,0.6","7,0.6","7,0.5","6,0.6","6,0.5","5,0.6"
Flair/NER-english-fast,"9,0.6","8,0.6","8,0.5","7,0.6","7,0.5","6,0.5","6,0.6","6,0.6"
spaCy-SpanCategorizer,"10,0.6","9,0.6","9,0.5","9,0.5","8,0.5","9,0.6","8,0.6","7,0.5"
DistilBERT-base-cased,"10,0.6","9,0.5","7,0.8","6,0.6","6,0.6","8,0.6","7,0.6","6,0.6"
DistilBERT-base-uncased,"10,0.6","9,0.6","7,0.8","6,0.6","6,0.6","8,0.6","7,0.6","6,0.6"
Microsoft/DeBERTa-v3-base,"9,0.9","10,0.6","8,0.6","7,0.7","7,0.6","7,0.6","6,0.5","7,0.5"
Google-bert/BERT-base-cased ,"10,0.7","9,0.7","7,0.8","7,0.6","8,0.6","8,0.6","6,0.6","6,0.6"
Google-bert/BERT-base-uncased ,"10,0.7","9,0.6","8,0.8","7,0.6","7,0.6","7,0.6","5,0.6","6,0.6"
FacebookAI/xlm-RoBERTa-base,"8,0.6","10,0.6","6,0.7","6,0.8","7,0.5","6,0.5","5,0.6","5,0.6"
Microsoft/DeBERTa-v3-large,"8,0.6","9,0.6","7,0.6","7,0.6","6,0.6","7,0.6","5,0.6","6,0.5"
Google-bert/BERT-large-cased,"9,0.7","9,0.6","6,0.7","7,0.6","6,0.6","6,0.6","6,0.5","5,0.6"
